country,total_wealth,population_country
Algeria,4600,43053054.0
Andorra,1500,77142.0
Argentina,11000,44938712.0
Armenia,1200,2957731.0
Australia,173500,25766605.0
Austria,75400,8877067.0
Bahamas,8200,
Bahrain,1500,1501635.0
Belgium,41200,11484055.0
Bermuda,4600,
Brazil,104800,212559417.0
British Virgin Islands,3400,
Cambodia,2800,16486542.0
Canada,173900,36991981.0
Cayman Islands,10900,
Chile,36400,18952038.0
China,1805500,1397715000.0
Colombia,6400,50339443.0
Cyprus,9600,1198575.0
Czech Republic,42800,10669709.0
Denmark,40900,5818553.0
Egypt,13500,100388073.0
Eswatini (Swaziland),6500,
Finland,14000,5520314.0
France,499500,67059887.0
Georgia,4900,3720382.0
Germany,462100,83132799.0
Greece,9100,10716322.0
Guernsey,2300,
Hong Kong,321500,
Hungary,3900,9769949.0
India,628700,1366417754.0
Indonesia,123900,270203917.0
Ireland,9600,
Israel,72500,9053300.0
Italy,156900,60297396.0
Japan,146800,126226568.0
Kazakhstan,26300,18513930.0
Latvia,4200,1912789.0
Lebanon,5600,6855713.0
Liechtenstein,2300,38019.0
Luxembourg,3500,645397.0
Malaysia,33100,32447385.0
Mexico,165700,126014024.0
Monaco,68000,38964.0
Morocco,2800,36910560.0
Nepal,1800,28608710.0
Netherlands,24700,17332850.0
New Zealand,10100,4841000.0
Nigeria,28500,200963599.0
Norway,27100,5347896.0
Oman,2700,5266535.0
Peru,2500,32510453.0
Philippines,41400,108116615.0
Poland,18300,37970874.0
Portugal,4700,10269417.0
Qatar,3000,2832067.0
Romania,4800,19356544.0
Russia,351000,144373535.0
Singapore,138000,5703569.0
Slovakia,3100,5454073.0
South Africa,25600,58558270.0
South Korea,81400,51709098.0
Spain,133700,47076781.0
Sweden,90900,10285453.0
Switzerland,409900,8574832.0
Taiwan,117900,
Tanzania,1500,58005463.0
Thailand,100700,69625582.0
Turkey,55700,83429615.0
Turks and Caicos Islands,2000,
Ukraine,12600,44385155.0
United Arab Emirates,99400,9770529.0
United Kingdom,370700,66834405.0
United States,4575100,328239523.0
Uruguay,1800,3461734.0
Uzbekistan,14400,33580650.0
Vietnam,12600,96462106.0
